-MISSION-	25
Kakusei
SP	150
Counter
HashiEx
-LIST-
HitCountOver80	h80	nOnly

-KEY-
5	-	9
6	-	5
5	-	6
6	-	8
2	-	4
3	-	2
6	-	3
6	B	6
5	-	27
5	B	4
5	-	9
2	B	3
1	-	2
4	-	4
5	D	8
5	-	39
6	-	4
5	-	6
6	-	19
3	B	2
2	B	5
2	-	11
2	BD	4
5	BD	2
5	-	57
2	-	4
3	-	1
6	-	6
5	-	1
2	-	5
3	-	2
6	-	3
3	-	1
2	B	2
2	-	3
3	-	1
6	-	2
6	B	1
3	B	2
2	B	2
2	-	1
2	B	3
5	B	4
5	-	120
5	ACD	4
5	-	6
5	ACD	2
5	-	6
5	ACD	3
5	-	5
5	ACD	5
5	-	30
6	-	4
5	-	4
6	-	6
3	-	2
2	-	5
2	AB	9
2	-	4
3	-	1
6	-	2
6	A	6
5	-	6
5	A	6
5	-	32
5	A	5
5	-	2
2	-	3
3	-	2
6	-	3
6	D	5
5	-	32
6	-	4
5	-	5
6	-	26
3	-	2
2	-	2
2	B	8
5	-	10
6	-	3
9	-	4
8	-	1
5	-	3
5	A	5
5	-	10
5	B	4
2	-	4
3	-	1
6	-	6
2	-	3
2	D	3
3	D	1
6	D	3
6	-	1
5	-	2
2	B	4
2	-	1
3	-	1
6	-	3
6	-	2
5	-	4
5	-	13
2	-	7
3	-	4
6	AB	6
5	-	11
5	A	4
5	-	6
5	A	8
5	-	20
2	-	3
3	-	2
6	-	4
5	-	2
2	-	4
3	-	3
6	AB	2
