-MISSION-	11
SP 150
NoMiss
Kakusei

-LIST-
ReversalAction
Randomizer_col
Randomizer_colCD
NmlAtkCounterAssault c
_GCSurinuke a c +CmnGCSurinuke
CmnDamageBurst        c        i
MoujyaHit_D
-KEY-
5 - 38
4 - 110
5 BD 4
5 - 7
5 BD 8 
5 - 27
6 - 4
5 - 53
6 - 10
5 - 2
5 - 190
6 - 4
5 - 4
6 - 80
5 - 15
1 - 144
8 - 3
8 A 5
5 - 27
6 - 4
5 - 53
6 - 10
5 - 45
6 - 4
5 - 4
6 - 80
5 - 15
1 - 144
8 - 3
8 AB 5
5 - 27
6 - 4
5 - 53
6 - 10
5 - 45
6 - 4
5 - 4
6 - 95
4 - 120
6 AB 5
5 AB 3
5 - 27
6 - 4
5 - 53
6 - 10
5 - 2
5 - 190
6 - 4
5 - 4
6 - 80
5 - 15
4 - 144
6 AC 3
5 - 64
4 - 6
5 - 4
4 - 36
4 ACD 6
5 - 9
5 ACD 1
5 - 55
4 - 4
5 - 6
4 - 40
6 - 123
3 - 2
2 - 5
3 - 3
6 - 4
5 - 1
2 - 5
3 - 2
6 - 2
6 C 2
5 C 3
5 - 6
5 C 6
5 - 58
5 ABC 3
4 ABC 1
4 - 3
5 - 5
4 - 36
4 - 4
6 - 14
5 - 97
4 - 7
5 - 4
6 - 138
2 - 5
1 - 2
4 - 3
5 - 2
2 - 4
1 - 2
4 CD 5
5 - 2
5 - 139
4 - 10
5 - 40
4 - 4
5 - 5
4 - 45
5 - 1
6 - 42
5 - 2
6 - 87
3 - 1
2 - 7
3 - 1
6 - 5
2 - 4
3 - 2
6 D 3
6 D 3
5 - 45
-EKEY-
5        -        16
6        -        4
5        -        5
6        -        14
5        -A        3
5        -        10
5        -A        3
5        -        17
5        -A        3
5        -        28
5        -A        3
5        -        37
